+-----------+----------------+--------------------------+----------+-----------------+---------------------+------------------+----------------+------------------------+
| Threat ID | Indicator Type |     Indicator Value      | Severity |      Source     |     Organization    |    Motivation    |     taget      |       Timestamp        |
+-----------+----------------+--------------------------+----------+-----------------+---------------------+------------------+----------------+------------------------+
|     1     |       IP       |      204.240.215.88      |  Medium  |  Threat Feed A  | 2023-02-24 13:02:04 |     M2U.COM      |     Power      |       businesses       |
|     2     |      URL       |    jackson-ellis.com     |  Medium  |  Threat Feed B  | 2023-08-02 02:29:39 |     M2U.COM      |     Power      |      individuals       |
|     3     |       IP       |      86.162.101.87       |   Low    |  Threat Feed B  | 2023-05-12 12:34:41 |   Audio group    | Ctber bullying |      individuals       |
|     4     |      URL       |    garrett-sutton.com    |   Low    |  Threat Feed B  | 2023-04-28 06:44:02 |   Audio group    |   Political    | financial institutions |
|     5     |   File Hash    |        cantu.org         |  Medium  |  Threat Feed A  | 2023-01-07 06:32:56 |  racist limited  |     Power      |      individuals       |
|     6     |      URL       |     sanchez-bush.biz     |   Low    |  Threat Feed A  | 2023-06-14 18:20:29 |     M2U.COM      | Financial gain |       businesses       |
|     7     |       IP       |       154.86.37.7        |   High   |  Threat Feed A  | 2023-01-14 18:41:40 |   Audio group    |   Political    |       businesses       |
|     8     |   File Hash    |         hunt.com         |   High   |  Threat Feed A  | 2023-04-01 13:18:50 | WOO commerce.com | Financial gain |      individuals       |
|     9     |       IP       |      21.105.114.181      |  Medium  |  Threat Feed A  | 2023-05-18 02:43:31 | WOO commerce.com | Financial gain | financial institutions |
|     10    |       IP       |      174.146.231.54      |  Medium  |  Threat Feed A  | 2023-03-20 07:22:32 |     M2U.COM      | Ctber bullying |      individuals       |
|     11    |   File Hash    |        smith.net         |   High   |  Threat Feed B  | 2023-05-10 14:44:01 |  racist limited  | Ctber bullying |       businesses       |
|     12    |       IP       |       79.4.191.72        |   High   |  Threat Feed A  | 2023-01-22 20:38:38 |   Audio group    | Ctber bullying | financial institutions |
|     13    |     Domain     |       huffman.com        |  Medium  |  Threat Feed A  | 2023-05-17 20:49:40 |  racist limited  | Ctber bullying |       businesses       |
|     14    |   File Hash    |        knight.com        |   Low    |  Threat Feed A  | 2023-07-19 18:20:56 |  racist limited  | Financial gain |       businesses       |
|     15    |       IP       |       215.49.7.180       |  Medium  | Internal Sensor | 2023-02-06 06:27:03 |   Audio group    |     Power      |     mobile phones      |
|     16    |     Domain     |    jackson-perez.info    |  Medium  |  Threat Feed B  | 2023-03-07 18:20:54 |     M2U.COM      |   Political    | financial institutions |
|     17    |      URL       |        smith.net         |  Medium  |  Threat Feed B  | 2023-06-13 23:11:02 | WOO commerce.com |   Political    |      individuals       |
|     18    |     Domain     |       simmons.com        |  Medium  |  Threat Feed A  | 2023-08-11 02:21:01 | WOO commerce.com | Financial gain |      individuals       |
|     19    |      URL       |       garcia.info        |   High   |  Threat Feed B  | 2023-02-05 14:19:04 |   Audio group    | Ctber bullying |       businesses       |
|     20    |      URL       |       webster.org        |   Low    |  Threat Feed A  | 2023-05-06 10:38:23 |     M2U.COM      |   Political    |      individuals       |
|     21    |   File Hash    |         koch.org         |   High   |  Threat Feed B  | 2023-08-01 11:11:23 |     M2U.COM      | Ctber bullying |      individuals       |
|     22    |      URL       |    thompson-clay.com     |  Medium  |  Threat Feed B  | 2023-06-04 23:23:08 |     M2U.COM      | Financial gain |      individuals       |
|     23    |     Domain     |     flores-ward.com      |   Low    |  Threat Feed B  | 2023-01-31 14:07:48 | WOO commerce.com | Financial gain |       businesses       |
|     24    |     Domain     |  christian-douglas.biz   |   High   |  Threat Feed A  | 2023-03-06 21:24:01 |  racist limited  |     Power      | financial institutions |
|     25    |       IP       |       89.97.129.21       |   Low    |  Threat Feed B  | 2023-06-11 13:03:21 |     M2U.COM      | Financial gain |      individuals       |
|     26    |   File Hash    |       johnson.com        |  Medium  |  Threat Feed B  | 2023-03-04 17:31:18 |   Audio group    | Ctber bullying |       businesses       |
|     27    |     Domain     |      brown-key.info      |  Medium  |  Threat Feed A  | 2023-08-05 16:02:20 |     M2U.COM      | Financial gain |      individuals       |
|     28    |   File Hash    |    wilson-wilson.com     |   High   |  Threat Feed B  | 2023-02-13 02:37:25 |   Audio group    |     Power      |      individuals       |
|     29    |      URL       |       erickson.biz       |   Low    |  Threat Feed A  | 2023-04-08 11:25:05 |   Audio group    |     Power      | financial institutions |
|     30    |   File Hash    |        suarez.com        |  Medium  |  Threat Feed A  | 2023-06-09 08:40:06 |   Audio group    |   Political    |      individuals       |
|     31    |       IP       |     168.147.212.201      |   Low    | Internal Sensor | 2023-01-27 13:04:39 |   Audio group    | Financial gain | financial institutions |
|     32    |      URL       |       houston.info       |   Low    |  Threat Feed A  | 2023-07-30 20:46:23 | WOO commerce.com |   Political    |      individuals       |
|     33    |   File Hash    |        green.biz         |   Low    |  Threat Feed A  | 2023-03-25 18:16:20 |  racist limited  | Ctber bullying | financial institutions |
|     34    |      URL       |  rodriguez-gonzalez.com  |   High   |  Threat Feed A  | 2023-04-04 21:37:19 |     M2U.COM      |   Political    |      individuals       |
|     35    |       IP       |      157.230.64.150      |   High   |  Threat Feed A  | 2023-01-05 23:04:11 |   Audio group    | Ctber bullying |     mobile phones      |
|     36    |     Domain     |       kramer.info        |   Low    | Internal Sensor | 2023-01-14 09:59:57 |   Audio group    |   Political    |     mobile phones      |
|     37    |     Domain     |        robles.org        |  Medium  |  Threat Feed B  | 2023-03-03 15:10:42 |   Audio group    |   Political    | financial institutions |
|     38    |   File Hash    |       russell.org        |  Medium  |  Threat Feed B  | 2023-06-04 09:00:42 |  racist limited  | Ctber bullying |     mobile phones      |
|     39    |      URL       |        stokes.com        |   Low    |  Threat Feed A  | 2023-04-01 21:06:31 |  racist limited  | Ctber bullying | financial institutions |
|     40    |       IP       |     114.182.230.200      |   High   |  Threat Feed B  | 2023-06-22 05:04:55 |     M2U.COM      |     Power      |      individuals       |
|     41    |   File Hash    |        rivers.com        |  Medium  | Internal Sensor | 2023-04-30 00:55:24 |     M2U.COM      |   Political    |     mobile phones      |
|     42    |      URL       |        watson.org        |   Low    |  Threat Feed B  | 2023-03-24 05:32:47 |  racist limited  |     Power      |     mobile phones      |
|     43    |       IP       |       184.66.64.19       |   High   | Internal Sensor | 2023-01-12 10:25:32 |   Audio group    | Ctber bullying | financial institutions |
|     44    |     Domain     |        chavez.com        |   Low    | Internal Sensor | 2023-05-11 21:57:27 |  racist limited  | Financial gain |      individuals       |
